date,ret_pct,kp_chain,la_chain,kp_panchang,la_panchang
2021-08-10,0.033,0.17,0.17,1.5,1.5
2021-08-11,-0.276,0.5,0.5,2.5,2.5
2021-08-12,0.373,0.5,0.5,0.5,0.5
2021-08-13,0.875,0.25,0.25,2.5,2.5
2021-08-16,0.27,0.06,0.06,2.5,2.5
2021-08-17,0.419,0.0,0.0,0.5,0.5
2021-08-18,-0.737,0.34,0.34,1.5,1.5
2021-08-20,0.415,-0.16,-0.16,2.5,2.5
2021-08-23,-0.577,0.22,0.22,1.5,1.5
2021-08-24,0.382,0.12,0.12,2.5,2.5
2021-08-25,-0.116,0.28,0.28,1.5,1.5
2021-08-26,0.054,-0.06,-0.06,-0.5,-0.5
2021-08-27,0.376,-0.16,-0.16,2.5,2.5
2021-08-30,0.925,0.0,0.0,1.5,1.5
2021-08-31,1.09,-0.25,-0.5,0.5,0.5
2021-09-01,-0.636,0.0,0.0,1.5,1.5
2021-09-02,0.812,0.5,0.5,0.5,0.5
2021-09-03,0.354,-0.16,-0.16,1.5,1.5
2021-09-06,-0.124,0.28,0.28,-1.5,-1.5
2021-09-07,-0.227,-0.22,-0.22,-1.5,-1.5
2021-09-08,-0.128,0.5,0.5,2.5,2.5
2021-09-09,0.326,0.0,0.0,2.5,2.5
2021-09-13,-0.048,0.22,0.22,1.5,1.5
2021-09-14,-0.232,0.5,0.5,2.5,2.5
2021-09-15,0.758,-0.06,-0.06,0.5,0.5
2021-09-16,0.515,0.0,0.0,1.5,1.5
2021-09-17,-0.703,0.0,0.0,1.5,1.5
2021-09-20,-0.269,-0.72,-0.72,1.5,1.5
2021-09-21,0.639,0.28,0.28,1.5,1.5
2021-09-22,-0.195,0.44,0.44,2.5,2.5
2021-09-23,0.861,0.28,0.28,1.5,1.5
2021-09-24,-0.247,0.28,0.28,1.5,1.5
2021-09-27,-0.43,-0.015,0.167,1.5,1.5
2021-09-28,-0.882,-0.347,-0.347,1.5,1.5
2021-09-29,0.302,0.033,0.033,2.5,2.5
2021-09-30,-0.569,0.12,0.12,-0.5,-0.5
2021-10-01,0.001,-0.44,-0.44,1.5,1.5
2021-10-04,0.43,0.5,0.5,2.5,2.5
2021-10-05,0.911,-0.153,-0.153,0.5,0.5
2021-10-06,-1.207,-0.25,-0.167,-1.5,-1.5
2021-10-07,-0.113,0.077,-0.25,1.5,1.5
2021-10-08,0.047,-0.28,-0.28,1.5,1.5
2021-10-11,0.439,0.5,0.5,2.5,2.5
2021-10-12,0.425,0.5,0.5,2.5,2.5
2021-10-13,0.353,-0.34,-0.34,2.5,1.5
2021-10-14,0.36,-1.0,-1.0,-0.5,-0.5
2021-10-18,-0.125,0.5,0.5,1.5,1.5
2021-10-19,-0.987,0.06,0.06,-0.5,-0.5
2021-10-20,-0.94,0.06,0.06,2.5,2.5
2021-10-21,-1.113,-0.16,-0.16,2.5,2.5
2021-10-22,-0.635,0.16,0.16,1.5,1.5
